Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.657143,5,18,0.000065,-0.000565,0.000569,-0.000046,0.000014,0.000048,0.000565,0.000065,88.612185,-40.148675,-111.422617,0.000000,24.207936,10.719217
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.550000,5,18,0.000075,-0.000564,0.000569,-0.000037,0.000014,0.000039,0.000564,0.000075,84.371462,-38.986971,-111.398399,0.000000,24.347982,10.977174
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.442857,5,18,0.000083,-0.000564,0.000570,-0.000028,0.000014,0.000031,0.000564,0.000083,80.258820,-37.795980,-111.359453,0.000000,24.495871,11.166643
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.442857,5,19,0.000083,-0.000564,0.000570,-0.000028,0.000014,0.000031,0.000564,0.000083,80.258820,-37.801128,-111.358692,0.000000,24.495871,11.166643
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.335714,5,19,0.000091,-0.000563,0.000570,-0.000020,0.000014,0.000024,0.000563,0.000091,76.274165,-36.594578,-111.303480,0.000000,24.652589,11.289463
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.228571,5,19,0.000098,-0.000563,0.000571,-0.000013,0.000014,0.000019,0.000563,0.000098,72.417407,-35.381763,-111.230268,0.000000,24.817494,11.355324
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.121429,5,19,0.000105,-0.000562,0.000572,-0.000006,0.000014,0.000015,0.000562,0.000105,68.690754,-34.164824,-111.138898,0.000000,24.991554,11.366468
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.014286,5,19,0.000111,-0.000561,0.000572,-0.000000,0.000013,0.000013,0.000561,0.000111,65.096386,-32.945899,-111.029216,0.000000,25.174332,11.331189
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,9.014286,5,20,0.000111,-0.000561,0.000572,-0.000000,0.000013,0.000013,0.000561,0.000111,65.096386,-32.949106,-111.028336,0.000000,25.174332,11.331189
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.907143,5,20,0.000116,-0.000561,0.000573,0.000006,0.000013,0.000015,0.000561,0.000116,61.631931,-31.737191,-110.898650,0.000000,25.366539,11.252125
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.800000,5,20,0.000121,-0.000560,0.000573,0.000011,0.000013,0.000017,0.000560,0.000121,58.295163,-30.537916,-110.746950,0.000000,25.568096,11.136175
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.692857,5,20,0.000126,-0.000559,0.000573,0.000015,0.000013,0.000020,0.000559,0.000126,55.086069,-29.352944,-110.573111,0.000000,25.779835,10.985094
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.585714,5,20,0.000130,-0.000559,0.000574,0.000020,0.000013,0.000024,0.000559,0.000130,52.004622,-28.183940,-110.377010,0.000000,26.001625,10.805310
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.585714,5,21,0.000130,-0.000559,0.000574,0.000020,0.000013,0.000024,0.000559,0.000130,52.004622,-28.185678,-110.375959,0.000000,26.001625,10.805310
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.478571,5,21,0.000133,-0.000558,0.000574,0.000023,0.000013,0.000027,0.000558,0.000133,49.047082,-27.038018,-110.155637,0.000000,26.234177,10.598744
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.371429,5,21,0.000136,-0.000558,0.000574,0.000027,0.000013,0.000030,0.000558,0.000136,46.209944,-25.914616,-109.908688,0.000000,26.477683,10.370630
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.264286,5,21,0.000139,-0.000557,0.000574,0.000030,0.000013,0.000033,0.000557,0.000139,43.491757,-24.816723,-109.635018,0.000000,26.733014,10.122509
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.157143,5,21,0.000141,-0.000556,0.000574,0.000033,0.000013,0.000035,0.000556,0.000141,40.891070,-23.745592,-109.334535,0.000000,27.000217,9.859000
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.157143,5,22,0.000141,-0.000556,0.000574,0.000033,0.000013,0.000035,0.000556,0.000141,40.891070,-23.746249,-109.333258,0.000000,27.000217,9.859000
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,8.050000,5,22,0.000143,-0.000556,0.000574,0.000035,0.000013,0.000037,0.000556,0.000143,38.403458,-22.704549,-109.003612,0.000000,27.280189,9.581884
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.942857,5,22,0.000145,-0.000555,0.000574,0.000037,0.000013,0.000039,0.000555,0.000145,36.024770,-21.693163,-108.641890,0.000000,27.573120,9.294671
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.835714,5,22,0.000147,-0.000555,0.000574,0.000039,0.000013,0.000041,0.000555,0.000147,33.752735,-20.712987,-108.248026,0.000000,27.880250,8.999255
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.728571,5,22,0.000148,-0.000554,0.000573,0.000041,0.000013,0.000043,0.000554,0.000148,31.585084,-19.764913,-107.821952,0.000000,28.201595,8.698405
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.728571,5,23,0.000148,-0.000554,0.000573,0.000041,0.000013,0.000043,0.000554,0.000148,31.585084,-19.764767,-107.820384,0.000000,28.201595,8.698405
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.621429,5,23,0.000149,-0.000553,0.000573,0.000042,0.000013,0.000044,0.000553,0.000149,29.517212,-18.849461,-107.359248,0.000000,28.538314,8.394134
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.514286,5,23,0.000149,-0.000553,0.000573,0.000043,0.000013,0.000045,0.000553,0.000149,27.544805,-17.966248,-106.859477,0.000000,28.890697,8.088651
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.407143,5,23,0.000150,-0.000552,0.000572,0.000044,0.000013,0.000046,0.000552,0.000150,25.665245,-17.115725,-106.321035,0.000000,29.260254,7.783872
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.300000,5,23,0.000150,-0.000552,0.000572,0.000045,0.000013,0.000047,0.000552,0.000150,23.875925,-16.298485,-105.743886,0.000000,29.647070,7.481583
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.300000,5,24,0.000150,-0.000552,0.000572,0.000045,0.000013,0.000047,0.000552,0.000150,23.875925,-16.297722,-105.741952,0.000000,29.647070,7.481583
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.192857,5,24,0.000150,-0.000551,0.000571,0.000045,0.000013,0.000047,0.000551,0.000150,22.172438,-15.512898,-105.122591,0.000000,30.052590,7.183779
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,7.085714,5,24,0.000150,-0.000550,0.000570,0.000046,0.000013,0.000048,0.000550,0.000150,20.550673,-14.758599,-104.456631,0.000000,30.477134,6.891714
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.978571,5,24,0.000149,-0.000550,0.000570,0.000046,0.000013,0.000048,0.000550,0.000149,19.008048,-14.035159,-103.744067,0.000000,30.922630,6.607685
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.871429,5,24,0.000149,-0.000549,0.000569,0.000046,0.000013,0.000048,0.000549,0.000149,17.541996,-13.342911,-102.984894,0.000000,31.389151,6.332502
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.871429,5,25,0.000149,-0.000549,0.000569,0.000046,0.000013,0.000048,0.000549,0.000149,17.541996,-13.341637,-102.982513,0.000000,31.389151,6.332502
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.764286,5,25,0.000148,-0.000549,0.000568,0.000047,0.000013,0.000048,0.000549,0.000148,16.148604,-12.678527,-102.172423,0.000000,31.878307,6.068231
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.657143,5,25,0.000148,-0.000548,0.000568,0.000047,0.000013,0.000048,0.000548,0.000148,14.824259,-12.041584,-101.306051,0.000000,32.390722,5.815956
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.550000,5,25,0.000147,-0.000548,0.000567,0.000046,0.000013,0.000048,0.000548,0.000147,13.566730,-11.430921,-100.383440,0.000000,32.928230,5.577607
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.442857,5,25,0.000146,-0.000547,0.000566,0.000046,0.000013,0.000048,0.000547,0.000146,12.373809,-10.846652,-99.404631,0.000000,33.491112,5.354050
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.442857,5,26,0.000146,-0.000547,0.000566,0.000046,0.000013,0.000048,0.000547,0.000146,12.373809,-10.844904,-99.401766,0.000000,33.491112,5.354050
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.335714,5,26,0.000145,-0.000546,0.000565,0.000046,0.000013,0.000048,0.000546,0.000145,11.242335,-10.283920,-98.361490,0.000000,34.080891,5.147444
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.228571,5,26,0.000143,-0.000546,0.000564,0.000046,0.000013,0.000047,0.000546,0.000143,10.169444,-9.742195,-97.253414,0.000000,34.698117,4.958463
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.121429,5,26,0.000142,-0.000545,0.000564,0.000045,0.000013,0.000047,0.000545,0.000142,9.153555,-9.219627,-96.077666,0.000000,35.344239,4.789799
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.014286,5,26,0.000141,-0.000545,0.000563,0.000045,0.000013,0.000047,0.000545,0.000141,8.193110,-8.716116,-94.834374,0.000000,36.018897,4.641955
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,6.014286,5,27,0.000141,-0.000545,0.000563,0.000045,0.000013,0.000047,0.000545,0.000141,8.193110,-8.713829,-94.831222,0.000000,36.018897,4.641955
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.907143,5,27,0.000139,-0.000544,0.000562,0.000044,0.000013,0.000046,0.000544,0.000139,7.285953,-8.225205,-93.514144,0.000000,36.722798,4.517550
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.800000,5,27,0.000138,-0.000544,0.000561,0.000044,0.000013,0.000046,0.000544,0.000138,6.430240,-7.746152,-92.116805,0.000000,37.454761,4.417143
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.692857,5,27,0.000136,-0.000543,0.000560,0.000043,0.000013,0.000045,0.000543,0.000136,5.625350,-7.276344,-90.639570,0.000000,38.214346,4.344966
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.585714,5,27,0.000135,-0.000543,0.000559,0.000043,0.000013,0.000045,0.000543,0.000135,4.870690,-6.815453,-89.082805,0.000000,38.996485,4.301071
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.585714,5,28,0.000135,-0.000543,0.000559,0.000043,0.000013,0.000045,0.000543,0.000135,4.870690,-6.812391,-89.080702,0.000000,38.996485,4.301071
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.478571,5,28,0.000133,-0.000542,0.000558,0.000042,0.000013,0.000044,0.000542,0.000133,4.165422,-6.354992,-87.437930,0.000000,39.797269,4.289295
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.371429,5,28,0.000132,-0.000542,0.000558,0.000042,0.000013,0.000044,0.000542,0.000132,3.509058,-5.893716,-85.707244,0.000000,40.608098,4.311491
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.264286,5,28,0.000130,-0.000541,0.000557,0.000041,0.000013,0.000043,0.000541,0.000130,2.902350,-5.427976,-83.890052,0.000000,41.412217,4.372621
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.157143,5,28,0.000128,-0.000541,0.000556,0.000040,0.000013,0.000042,0.000541,0.000128,2.346087,-4.957187,-81.987763,0.000000,42.184716,4.466942
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.157143,5,29,0.000128,-0.000541,0.000556,0.000040,0.000013,0.000042,0.000541,0.000128,2.346087,-4.953001,-81.993406,0.000000,42.184716,4.466942
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,5.050000,5,29,0.000127,-0.000540,0.000555,0.000040,0.000013,0.000042,0.000540,0.000127,1.841176,-4.470285,-80.003494,0.000000,42.916759,4.622380
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,4.942857,5,29,0.000125,-0.000540,0.000554,0.000039,0.000013,0.000041,0.000540,0.000125,1.389043,-3.963342,-77.950256,0.000000,43.537333,4.822127
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,4.835714,5,29,0.000123,-0.000540,0.000553,0.000039,0.000013,0.000041,0.000540,0.000123,0.992612,-3.430621,-75.838756,0.000000,44.004421,5.103603
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,4.728571,5,29,0.000122,-0.000539,0.000553,0.000038,0.000013,0.000040,0.000539,0.000122,0.654876,-2.870574,-73.674060,0.000000,44.287707,5.515062
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,4.728571,5,30,0.000122,-0.000539,0.000553,0.000038,0.000013,0.000040,0.000539,0.000122,0.654876,-2.864453,-73.843895,0.000000,44.287707,5.515062
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,4.621429,5,30,0.000120,-0.000539,0.000552,0.000037,0.000013,0.000039,0.000539,0.000120,0.380644,-2.246273,-71.401708,0.000000,44.360873,6.051196
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,4.514286,5,30,0.000118,-0.000538,0.000551,0.000037,0.000013,0.000039,0.000538,0.000118,0.175639,-1.569270,-69.431453,0.000000,41.874174,6.553318
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,4.407143,5,30,0.000117,-0.000538,0.000550,0.000036,0.000013,0.000038,0.000538,0.000117,0.046502,-0.830418,-68.095078,0.000000,32.527176,7.205830
Phase_5,Install temp. support to top of wall [Phase_5],0.000000,4.300000,5,30,0.000115,-0.000538,0.000550,0.000035,0.000013,0.000038,0.000538,0.000115,-0.000000,-0.026692,-67.554528,0.000000,12.947210,8.602805
Phase_13,Excavate to +14.2 [Phase_13],0.000000,18.200000,5,1,-0.005070,-0.000255,0.005076,0.000329,0.000343,0.000475,0.000255,-0.005070,0.000000,163.534149,1.853094,0.000000,0.000000,0.000000
Phase_13,Excavate to +14.2 [Phase_13],0.000000,18.075000,5,1,-0.004891,-0.000255,0.004898,0.000367,0.000343,0.000502,0.000255,-0.004891,20.283441,161.053088,-1.353371,0.000000,-1.408829,-20.175693
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.950000,5,1,-0.004713,-0.000255,0.004720,0.000405,0.000343,0.000531,0.000255,-0.004713,40.258946,158.477300,-4.490568,0.000000,-0.270407,-21.284593
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.825000,5,1,-0.004535,-0.000254,0.004542,0.000442,0.000343,0.000560,0.000254,-0.004535,59.909534,155.844178,-7.611374,0.000000,-1.146544,-21.093156
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.700000,5,1,-0.004357,-0.000254,0.004365,0.000480,0.000343,0.000590,0.000254,-0.004357,79.219541,153.191111,-10.768666,0.000000,-1.573411,-21.597192
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.700000,5,2,-0.004357,-0.000254,0.004365,0.000480,0.000343,0.000590,0.000254,-0.004357,79.219541,153.182201,-10.726745,0.000000,-1.628106,-21.597192
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.575000,5,2,-0.004181,-0.000254,0.004189,0.000517,0.000343,0.000620,0.000254,-0.004181,98.193127,150.441347,-14.068108,0.000000,-2.359809,-22.167266
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.450000,5,2,-0.004006,-0.000254,0.004014,0.000553,0.000343,0.000651,0.000254,-0.004006,116.825985,147.619885,-17.345948,0.000000,-2.288360,-23.368093
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.325000,5,2,-0.003832,-0.000254,0.003841,0.000589,0.000343,0.000682,0.000254,-0.003832,135.105670,144.775413,-20.513759,0.000000,-0.599167,-22.535474
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.200000,5,2,-0.003660,-0.000254,0.003669,0.000624,0.000343,0.000712,0.000254,-0.003660,153.021814,141.965527,-23.525037,0.000000,4.220862,-16.890163
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.200000,5,3,-0.003660,-0.000254,0.003669,0.000624,0.000343,0.000712,0.000254,-0.003660,153.021814,142.118530,-23.383449,0.000000,4.761533,-16.890163
Phase_13,Excavate to +14.2 [Phase_13],0.000000,17.075000,5,3,-0.003490,-0.000254,0.003499,0.000659,0.000343,0.000743,0.000254,-0.003490,170.660835,140.151462,-25.856387,0.000000,3.767531,-16.125600
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.950000,5,3,-0.003322,-0.000254,0.003331,0.000692,0.000343,0.000773,0.000254,-0.003322,188.055284,138.083264,-28.459411,0.000000,2.599683,-17.040544
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.825000,5,3,-0.003156,-0.000253,0.003166,0.000725,0.000343,0.000802,0.000253,-0.003156,205.185956,135.926869,-31.176837,0.000000,1.936910,-17.536884
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.700000,5,3,-0.002992,-0.000253,0.003003,0.000756,0.000343,0.000831,0.000253,-0.002992,222.034052,133.695214,-33.992979,0.000000,1.676344,-16.856704
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.700000,5,4,-0.002992,-0.000253,0.003003,0.000756,0.000343,0.000831,0.000253,-0.002992,222.034052,133.691672,-33.978446,0.000000,1.629011,-40.250544
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.575000,5,4,-0.002831,-0.000253,0.002843,0.000787,0.000343,0.000858,0.000253,-0.002831,238.437534,128.818688,-36.753771,0.000000,1.881979,-39.126085
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.450000,5,4,-0.002673,-0.000253,0.002685,0.000816,0.000343,0.000885,0.000253,-0.002673,254.237204,123.913820,-39.519391,0.000000,2.004696,-39.286429
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.325000,5,4,-0.002519,-0.000252,0.002531,0.000844,0.000343,0.000911,0.000252,-0.002519,269.421694,118.974027,-42.276227,0.000000,2.022542,-39.684948
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.200000,5,4,-0.002367,-0.000252,0.002380,0.000870,0.000343,0.000935,0.000252,-0.002367,283.979322,113.996268,-45.025199,0.000000,1.896277,-40.056797
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.200000,5,5,-0.002367,-0.000252,0.002380,0.000870,0.000343,0.000935,0.000252,-0.002367,283.979322,114.004876,-45.050251,0.000000,1.893341,-40.065180
Phase_13,Excavate to +14.2 [Phase_13],0.000000,16.075000,5,5,-0.002219,-0.000252,0.002233,0.000895,0.000343,0.000958,0.000252,-0.002219,297.911480,108.955902,-47.811691,0.000000,1.568373,-40.407212
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.950000,5,5,-0.002074,-0.000252,0.002089,0.000918,0.000343,0.000980,0.000252,-0.002074,311.217652,103.899499,-50.666620,0.000000,0.946344,-40.567828
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.825000,5,5,-0.001933,-0.000251,0.001950,0.000939,0.000343,0.001000,0.000251,-0.001933,323.892722,98.851838,-53.623641,0.000000,-0.065284,-40.267331
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.700000,5,5,-0.001796,-0.000251,0.001814,0.000959,0.000343,0.001019,0.000251,-0.001796,335.931984,93.829088,-56.691359,0.000000,-1.616546,-40.407517
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.700000,5,6,-0.001796,-0.000251,0.001814,0.000959,0.000343,0.001019,0.000251,-0.001796,335.931984,94.654939,-56.512130,0.000000,-1.779761,-40.644753
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.575000,5,6,-0.001663,-0.000250,0.001682,0.000977,0.000344,0.001036,0.000250,-0.001663,347.286250,87.667342,-60.381905,0.000000,-6.832535,-51.270015
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.450000,5,6,-0.001535,-0.000250,0.001555,0.000993,0.000344,0.001051,0.000250,-0.001535,357.938103,82.521467,-64.193297,0.000000,-5.284176,-18.072464
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.325000,5,6,-0.001410,-0.000250,0.001432,0.001007,0.000344,0.001064,0.000250,-0.001410,367.923600,77.428792,-68.046625,0.000000,-7.503569,-50.418727
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.200000,5,6,-0.001290,-0.000249,0.001314,0.001019,0.000344,0.001075,0.000249,-0.001290,377.210449,70.600793,-72.042205,0.000000,1.691114,-951.887561
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.200000,5,7,-0.001290,-0.000249,0.001314,0.001019,0.000344,0.001075,0.000249,-0.001290,377.210449,1.606149,-71.816622,0.000000,1.628162,-955.533040
Phase_13,Excavate to +14.2 [Phase_13],0.000000,15.075000,5,7,-0.001176,-0.000249,0.001202,0.001027,0.000344,0.001083,0.000249,-0.001176,376.854808,-6.629404,-74.089888,0.000000,6.032762,-60.806971
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.950000,5,7,-0.001066,-0.000248,0.001095,0.001034,0.000344,0.001090,0.000248,-0.001066,375.650719,-12.849609,-76.420585,0.000000,2.898638,-24.548716
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.825000,5,7,-0.000961,-0.000248,0.000992,0.001038,0.000344,0.001094,0.000248,-0.000961,373.644397,-19.004160,-78.545885,0.000000,9.319472,-59.756400
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.700000,5,7,-0.000860,-0.000247,0.000895,0.001041,0.000344,0.001096,0.000247,-0.000860,370.807526,-27.042752,-80.202960,0.000000,7.131070,-52.501493
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.700000,5,8,-0.000860,-0.000247,0.000895,0.001041,0.000344,0.001096,0.000247,-0.000860,370.807526,-26.468262,-80.420023,0.000000,7.255914,-50.274684
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.575000,5,8,-0.000764,-0.000247,0.000802,0.001041,0.000344,0.001097,0.000247,-0.000764,367.135340,-32.290482,-82.513174,0.000000,7.194809,-46.291059
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.450000,5,8,-0.000672,-0.000246,0.000715,0.001040,0.000344,0.001095,0.000246,-0.000672,362.737652,-38.039942,-84.650105,0.000000,6.421976,-45.685323
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.325000,5,8,-0.000584,-0.000246,0.000634,0.001036,0.000344,0.001092,0.000246,-0.000584,357.626389,-43.711778,-86.787053,0.000000,7.194528,-45.048931
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.200000,5,8,-0.000501,-0.000245,0.000558,0.001032,0.000344,0.001087,0.000245,-0.000501,351.813426,-49.301124,-88.880257,0.000000,12.436333,-38.044287
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.200000,5,9,-0.000501,-0.000245,0.000558,0.001032,0.000344,0.001087,0.000245,-0.000501,351.813426,-49.096245,-88.698397,0.000000,11.058055,-33.756356
Phase_13,Excavate to +14.2 [Phase_13],0.000000,14.075000,5,9,-0.000422,-0.000244,0.000488,0.001025,0.000345,0.001081,0.000244,-0.000422,345.426837,-53.078428,-90.241370,0.000000,12.041176,-31.045820
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.950000,5,9,-0.000347,-0.000244,0.000424,0.001017,0.000345,0.001074,0.000244,-0.000347,338.552312,-56.853749,-91.695598,0.000000,12.903610,-29.288628
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.825000,5,9,-0.000276,-0.000243,0.000368,0.001007,0.000345,0.001064,0.000243,-0.000276,331.218507,-60.427529,-93.074123,0.000000,13.252568,-27.820818
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.700000,5,9,-0.000209,-0.000243,0.000320,0.000996,0.000345,0.001054,0.000243,-0.000209,323.453723,-63.805090,-94.389985,0.000000,13.366734,-26.411660
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.700000,5,10,-0.000209,-0.000243,0.000320,0.000996,0.000345,0.001054,0.000243,-0.000209,323.453723,-63.809230,-94.414494,0.000000,13.361466,-26.354611
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.575000,5,10,-0.000146,-0.000242,0.000283,0.000984,0.000345,0.001043,0.000242,-0.000146,315.277385,-67.010306,-95.731438,0.000000,13.455373,-24.789860
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.450000,5,10,-0.000087,-0.000241,0.000257,0.000970,0.000345,0.001030,0.000241,-0.000087,306.709467,-70.007516,-97.062118,0.000000,13.391239,-23.184827
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.325000,5,10,-0.000031,-0.000241,0.000243,0.000956,0.000345,0.001016,0.000241,-0.000031,297.780208,-72.794699,-98.409308,0.000000,13.191202,-21.429049
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.200000,5,10,0.000021,-0.000240,0.000241,0.000940,0.000345,0.001002,0.000240,0.000021,288.519965,-75.365692,-99.775778,0.000000,12.867418,-19.560036
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.200000,5,11,0.000021,-0.000240,0.000241,0.000940,0.000345,0.001002,0.000240,0.000021,288.519965,-75.332794,-99.790534,0.000000,12.872474,-19.565033
Phase_13,Excavate to +14.2 [Phase_13],0.000000,13.075000,5,11,0.000069,-0.000239,0.000249,0.000924,0.000345,0.000986,0.000239,0.000069,278.955105,-77.686671,-101.208539,0.000000,12.339526,-17.375993
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.950000,5,11,0.000115,-0.000239,0.000265,0.000907,0.000345,0.000970,0.000239,0.000115,269.112769,-79.686370,-102.717512,0.000000,11.647113,-14.804756
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.825000,5,11,0.000157,-0.000238,0.000285,0.000889,0.000345,0.000954,0.000238,0.000157,259.044815,-81.304107,-104.318948,0.000000,10.859971,-11.263922
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.700000,5,11,0.000196,-0.000237,0.000308,0.000871,0.000345,0.000937,0.000237,0.000196,248.804084,-82.512095,-106.014339,0.000000,9.652966,-5.593337
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.700000,5,12,0.000196,-0.000237,0.000308,0.000871,0.000345,0.000937,0.000237,0.000196,248.804084,-82.401151,-106.018567,0.000000,22.368787,-12.750681
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.575000,5,12,0.000232,-0.000237,0.000331,0.000852,0.000345,0.000919,0.000237,0.000232,238.413258,-83.828979,-106.354247,0.000000,20.736238,-9.643105
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.450000,5,12,0.000265,-0.000236,0.000355,0.000833,0.000345,0.000901,0.000236,0.000265,227.864141,-84.831479,-106.854901,0.000000,19.222547,-6.771465
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.325000,5,12,0.000296,-0.000235,0.000378,0.000813,0.000345,0.000883,0.000235,0.000296,217.220391,-85.356034,-107.500971,0.000000,18.409322,-1.995151
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.200000,5,12,0.000324,-0.000235,0.000400,0.000794,0.000345,0.000865,0.000235,0.000324,206.547638,-85.350027,-108.272901,0.000000,18.048880,6.284916
Phase_13,Excavate to +14.2 [Phase_13],0.000000,12.200000,5,13,0.000324,-0.000235,0.000400,0.000794,0.000345,0.000865,0.000235,0.000324,206.547638,-85.076038,-108.158977,0.000000,51.980775,18.100559
