Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_2,Install Piled Wall [Phase_2],0.000000,15.450000,5,6,0.000035,-0.000751,0.000752,0.000035,-0.000751,0.000752,0.000751,0.000035,2.519808,0.835117,-71.265681,0.000000,-0.504248,-0.977238
Phase_2,Install Piled Wall [Phase_2],0.000000,15.325000,5,6,0.000036,-0.000750,0.000751,0.000036,-0.000750,0.000751,0.000750,0.000036,2.616413,0.708315,-74.324688,0.000000,-0.322663,-1.054240
Phase_2,Install Piled Wall [Phase_2],0.000000,15.200000,5,6,0.000036,-0.000750,0.000751,0.000036,-0.000750,0.000751,0.000750,0.000036,2.696476,0.571425,-77.358800,0.000000,-0.141744,-1.118187
Phase_2,Install Piled Wall [Phase_2],0.000000,15.200000,5,7,0.000036,-0.000750,0.000751,0.000036,-0.000750,0.000751,0.000750,0.000036,2.696476,0.572664,-77.360335,0.000000,-0.141743,-1.118182
Phase_2,Install Piled Wall [Phase_2],0.000000,15.075000,5,7,0.000037,-0.000749,0.000750,0.000037,-0.000749,0.000750,0.000749,0.000037,2.759109,0.428821,-80.371928,0.000000,0.038568,-1.168943
Phase_2,Install Piled Wall [Phase_2],0.000000,14.950000,5,7,0.000037,-0.000749,0.000750,0.000037,-0.000749,0.000750,0.000749,0.000037,2.803479,0.280341,-83.363165,0.000000,0.218321,-1.208496
Phase_2,Install Piled Wall [Phase_2],0.000000,14.825000,5,7,0.000038,-0.000748,0.000749,0.000038,-0.000748,0.000749,0.000748,0.000038,2.829036,0.127651,-86.331955,0.000000,0.397778,-1.236321
Phase_2,Install Piled Wall [Phase_2],0.000000,14.700000,5,7,0.000038,-0.000748,0.000749,0.000038,-0.000748,0.000749,0.000748,0.000038,2.835243,-0.028823,-89.276203,0.000000,0.576932,-1.253925
Phase_2,Install Piled Wall [Phase_2],0.000000,14.700000,5,8,0.000038,-0.000748,0.000749,0.000038,-0.000748,0.000749,0.000748,0.000038,2.835243,-0.027817,-89.277643,0.000000,0.576931,-1.253924
Phase_2,Install Piled Wall [Phase_2],0.000000,14.575000,5,8,0.000039,-0.000747,0.000748,0.000039,-0.000747,0.000748,0.000747,0.000039,2.821897,-0.185763,-92.199571,0.000000,0.755944,-1.260511
Phase_2,Install Piled Wall [Phase_2],0.000000,14.450000,5,8,0.000039,-0.000746,0.000747,0.000039,-0.000746,0.000747,0.000746,0.000039,2.788821,-0.343021,-95.101156,0.000000,0.934974,-1.257222
Phase_2,Install Piled Wall [Phase_2],0.000000,14.325000,5,8,0.000039,-0.000746,0.000747,0.000039,-0.000746,0.000747,0.000746,0.000039,2.736168,-0.499181,-97.980359,0.000000,1.114106,-1.242938
Phase_2,Install Piled Wall [Phase_2],0.000000,14.200000,5,8,0.000039,-0.000745,0.000746,0.000039,-0.000745,0.000746,0.000745,0.000039,2.664099,-0.653832,-100.835138,0.000000,1.293530,-1.218521
Phase_2,Install Piled Wall [Phase_2],0.000000,14.200000,5,9,0.000039,-0.000745,0.000746,0.000039,-0.000745,0.000746,0.000745,0.000039,2.664099,-0.652767,-100.836482,0.000000,1.293530,-1.218522
Phase_2,Install Piled Wall [Phase_2],0.000000,14.075000,5,9,0.000040,-0.000744,0.000746,0.000040,-0.000744,0.000746,0.000744,0.000040,2.573030,-0.803748,-103.668875,0.000000,1.473196,-1.182535
Phase_2,Install Piled Wall [Phase_2],0.000000,13.950000,5,9,0.000040,-0.000744,0.000745,0.000040,-0.000744,0.000745,0.000744,0.000040,2.463412,-0.948500,-106.480708,0.000000,1.653330,-1.135535
Phase_2,Install Piled Wall [Phase_2],0.000000,13.825000,5,9,0.000040,-0.000743,0.000744,0.000040,-0.000743,0.000744,0.000743,0.000040,2.336129,-1.086571,-109.269990,0.000000,1.834059,-1.075629
Phase_2,Install Piled Wall [Phase_2],0.000000,13.700000,5,9,0.000040,-0.000742,0.000743,0.000040,-0.000742,0.000743,0.000742,0.000040,2.192076,-1.217508,-112.034729,0.000000,2.015379,-1.003032
Phase_2,Install Piled Wall [Phase_2],0.000000,13.700000,5,10,0.000040,-0.000742,0.000743,0.000040,-0.000742,0.000743,0.000742,0.000040,2.192076,-1.216060,-112.036010,0.000000,2.015393,-1.003039
Phase_2,Install Piled Wall [Phase_2],0.000000,13.575000,5,10,0.000040,-0.000742,0.000743,0.000040,-0.000742,0.000743,0.000742,0.000040,2.032396,-1.337303,-114.778087,0.000000,2.197098,-0.915475
Phase_2,Install Piled Wall [Phase_2],0.000000,13.450000,5,10,0.000040,-0.000741,0.000742,0.000040,-0.000741,0.000742,0.000741,0.000040,1.858302,-1.445096,-117.499279,0.000000,2.379419,-0.812571
Phase_2,Install Piled Wall [Phase_2],0.000000,13.325000,5,10,0.000040,-0.000740,0.000741,0.000040,-0.000740,0.000741,0.000740,0.000040,1.671622,-1.538858,-120.197673,0.000000,2.561919,-0.690941
Phase_2,Install Piled Wall [Phase_2],0.000000,13.200000,5,10,0.000040,-0.000739,0.000740,0.000040,-0.000739,0.000740,0.000739,0.000040,1.474204,-1.618005,-122.871353,0.000000,2.744641,-0.549782
Phase_2,Install Piled Wall [Phase_2],0.000000,13.200000,5,11,0.000040,-0.000739,0.000740,0.000040,-0.000739,0.000740,0.000739,0.000040,1.474204,-1.615497,-122.872693,0.000000,2.744741,-0.549801
Phase_2,Install Piled Wall [Phase_2],0.000000,13.075000,5,11,0.000040,-0.000738,0.000740,0.000040,-0.000738,0.000740,0.000738,0.000040,1.268258,-1.676367,-125.523772,0.000000,2.921964,-0.384008
Phase_2,Install Piled Wall [Phase_2],0.000000,12.950000,5,11,0.000040,-0.000738,0.000739,0.000040,-0.000738,0.000739,0.000738,0.000040,1.056160,-1.711873,-128.154646,0.000000,3.101621,-0.191371
Phase_2,Install Piled Wall [Phase_2],0.000000,12.825000,5,11,0.000040,-0.000737,0.000738,0.000040,-0.000737,0.000738,0.000737,0.000040,0.841290,-1.720988,-130.763781,0.000000,3.269831,0.038306
Phase_2,Install Piled Wall [Phase_2],0.000000,12.700000,5,11,0.000040,-0.000736,0.000737,0.000040,-0.000736,0.000737,0.000736,0.000040,0.627064,-1.702683,-133.349642,0.000000,3.379109,0.313098
Phase_2,Install Piled Wall [Phase_2],0.000000,12.700000,5,12,0.000040,-0.000736,0.000737,0.000040,-0.000736,0.000737,0.000736,0.000040,0.627064,-1.697237,-133.346999,0.000000,7.824126,0.724801
Phase_2,Install Piled Wall [Phase_2],0.000000,12.575000,5,12,0.000040,-0.000735,0.000736,0.000040,-0.000735,0.000736,0.000735,0.000040,0.420212,-1.611698,-135.392634,0.000000,7.696309,0.727970
Phase_2,Install Piled Wall [Phase_2],0.000000,12.450000,5,12,0.000040,-0.000734,0.000735,0.000040,-0.000734,0.000735,0.000734,0.000040,0.224559,-1.515909,-137.435871,0.000000,7.720499,0.792058
Phase_2,Install Piled Wall [Phase_2],0.000000,12.325000,5,12,0.000040,-0.000733,0.000734,0.000040,-0.000733,0.000734,0.000733,0.000040,0.041641,-1.408256,-139.474637,0.000000,7.767846,0.917819
Phase_2,Install Piled Wall [Phase_2],0.000000,12.200000,5,12,0.000040,-0.000732,0.000734,0.000040,-0.000732,0.000734,0.000732,0.000040,-0.126937,-1.287124,-141.506861,0.000000,7.705562,1.118244
Phase_2,Install Piled Wall [Phase_2],0.000000,12.200000,5,13,0.000040,-0.000732,0.000734,0.000040,-0.000732,0.000734,0.000732,0.000040,-0.126937,-1.275896,-141.478232,0.000000,22.192017,3.220544
Phase_2,Install Piled Wall [Phase_2],0.000000,12.062500,5,13,0.000040,-0.000731,0.000733,0.000040,-0.000731,0.000733,0.000731,0.000040,-0.274916,-0.887644,-141.866013,0.000000,21.052333,2.604651
Phase_2,Install Piled Wall [Phase_2],0.000000,11.925000,5,13,0.000040,-0.000730,0.000731,0.000040,-0.000730,0.000731,0.000730,0.000040,-0.373861,-0.560831,-142.306131,0.000000,20.603656,2.128524
Phase_2,Install Piled Wall [Phase_2],0.000000,11.787500,5,13,0.000040,-0.000729,0.000730,0.000040,-0.000729,0.000730,0.000729,0.000040,-0.431868,-0.292701,-142.790734,0.000000,20.405201,1.750991
Phase_2,Install Piled Wall [Phase_2],0.000000,11.650000,5,13,0.000040,-0.000728,0.000729,0.000040,-0.000728,0.000729,0.000728,0.000040,-0.456908,-0.080498,-143.311971,0.000000,20.290775,1.526871
Phase_2,Install Piled Wall [Phase_2],0.000000,11.650000,5,14,0.000040,-0.000728,0.000729,0.000040,-0.000728,0.000729,0.000728,0.000040,-0.456908,-0.075213,-143.304092,0.000000,20.290775,1.526871
Phase_2,Install Piled Wall [Phase_2],0.000000,11.562500,5,14,0.000040,-0.000728,0.000729,0.000040,-0.000728,0.000729,0.000728,0.000040,-0.457465,0.060133,-143.634355,0.000000,20.294282,1.464925
Phase_2,Install Piled Wall [Phase_2],0.000000,11.475000,5,14,0.000040,-0.000727,0.000728,0.000040,-0.000727,0.000728,0.000727,0.000040,-0.446799,0.181130,-143.961966,0.000000,20.319116,1.300455
Phase_2,Install Piled Wall [Phase_2],0.000000,11.387500,5,14,0.000040,-0.000726,0.000727,0.000040,-0.000726,0.000727,0.000726,0.000040,-0.426182,0.287665,-144.286145,0.000000,20.372741,1.134350
Phase_2,Install Piled Wall [Phase_2],0.000000,11.300000,5,14,0.000040,-0.000726,0.000727,0.000040,-0.000726,0.000727,0.000726,0.000040,-0.396886,0.379629,-144.606111,0.000000,20.445077,0.988510
Phase_2,Install Piled Wall [Phase_2],0.000000,11.300000,5,15,0.000040,-0.000726,0.000727,0.000040,-0.000726,0.000727,0.000726,0.000040,-0.396886,0.381352,-144.604208,0.000000,20.445077,0.988510
Phase_2,Install Piled Wall [Phase_2],0.000000,11.175000,5,15,0.000040,-0.000725,0.000726,0.000040,-0.000725,0.000726,0.000725,0.000040,-0.342144,0.491398,-145.049079,0.000000,20.573665,0.802709
Phase_2,Install Piled Wall [Phase_2],0.000000,11.050000,5,15,0.000040,-0.000724,0.000725,0.000040,-0.000724,0.000725,0.000724,0.000040,-0.274856,0.581790,-145.474133,0.000000,20.728035,0.639190
Phase_2,Install Piled Wall [Phase_2],0.000000,10.925000,5,15,0.000040,-0.000723,0.000724,0.000040,-0.000723,0.000724,0.000723,0.000040,-0.197460,0.653040,-145.878443,0.000000,20.905606,0.496384
Phase_2,Install Piled Wall [Phase_2],0.000000,10.800000,5,15,0.000040,-0.000722,0.000723,0.000040,-0.000722,0.000723,0.000722,0.000040,-0.112372,0.705655,-146.261082,0.000000,21.102803,0.370188
Phase_2,Install Piled Wall [Phase_2],0.000000,10.800000,5,16,0.000040,-0.000722,0.000723,0.000040,-0.000722,0.000723,0.000722,0.000040,-0.112372,0.707256,-146.259394,0.000000,21.102803,0.370188
Phase_2,Install Piled Wall [Phase_2],0.000000,10.675000,5,16,0.000041,-0.000721,0.000722,0.000041,-0.000721,0.000722,0.000721,0.000041,-0.021467,0.745544,-146.615841,0.000000,21.318063,0.259834
Phase_2,Install Piled Wall [Phase_2],0.000000,10.550000,5,16,0.000041,-0.000720,0.000721,0.000041,-0.000720,0.000721,0.000720,0.000041,0.073523,0.772077,-146.943158,0.000000,21.548644,0.162135
Phase_2,Install Piled Wall [Phase_2],0.000000,10.425000,5,16,0.000041,-0.000719,0.000720,0.000041,-0.000719,0.000720,0.000719,0.000041,0.171121,0.787182,-147.240711,0.000000,21.794340,0.076989
Phase_2,Install Piled Wall [Phase_2],0.000000,10.300000,5,16,0.000041,-0.000718,0.000719,0.000041,-0.000718,0.000719,0.000718,0.000041,0.269858,0.791190,-147.507866,0.000000,22.053252,0.001778
