Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_11,Install base slab to +12 [Phase_11],1.928571,11.650000,3,5,0.003817,0.001288,0.004028,0.000014,-0.000484,0.000484,-0.003817,0.001288,-14.088202,-14.088202,-2.054508,0.054206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],1.821429,11.650000,3,5,0.003893,0.001282,0.004099,0.000014,-0.000477,0.000477,-0.003893,0.001282,-13.792894,-13.792894,-2.165041,0.057262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],1.714286,11.650000,3,5,0.003974,0.001273,0.004173,0.000015,-0.000469,0.000469,-0.003974,0.001273,-13.496782,-13.496782,-2.279342,0.060433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],2.571429,11.650000,3,6,0.003422,0.001305,0.003662,0.000012,-0.000524,0.000524,-0.003422,0.001305,-15.610871,-15.610871,-1.463882,0.038145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],2.464286,11.650000,3,6,0.003483,0.001304,0.003719,0.000012,-0.000518,0.000518,-0.003483,0.001304,-15.386856,-15.386856,-1.554873,0.040590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],2.357143,11.650000,3,6,0.003545,0.001303,0.003777,0.000012,-0.000512,0.000512,-0.003545,0.001303,-15.157334,-15.157334,-1.648578,0.043116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],2.250000,11.650000,3,6,0.003609,0.001301,0.003837,0.000013,-0.000505,0.000505,-0.003609,0.001301,-14.904520,-14.904520,-1.745243,0.045739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],2.142857,11.650000,3,6,0.003676,0.001298,0.003898,0.000013,-0.000498,0.000498,-0.003676,0.001298,-14.646291,-14.646291,-1.845020,0.048456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],3.000000,11.650000,3,7,0.003193,0.001304,0.003449,0.000010,-0.000547,0.000547,-0.003193,0.001304,-16.364407,-16.364407,-1.126746,0.029181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],2.892857,11.650000,3,7,0.003249,0.001304,0.003501,0.000011,-0.000541,0.000542,-0.003249,0.001304,-16.192135,-16.192135,-1.207174,0.031307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],2.785714,11.650000,3,7,0.003305,0.001305,0.003553,0.000011,-0.000536,0.000536,-0.003305,0.001305,-16.015141,-16.015141,-1.290050,0.033505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
