Phase,PhaseIdent,X(m),Y(m),MaterialId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_12,Install NRW Piles [Phase_12],-19.000000,89.856853,1,0.005234,0.005929,0.007909,0.000013,-0.000485,0.000485,-0.005929,0.005234,0.335302,0.061038,-25.635420,0.000000,1.812318,0.020337
Phase_12,Install NRW Piles [Phase_12],-19.000000,89.340033,1,0.006013,0.004741,0.007657,0.000013,-0.000484,0.000484,-0.004741,0.006013,0.369799,0.073284,-27.267546,0.000000,2.079445,0.009062
Phase_12,Install NRW Piles [Phase_12],-19.000000,89.340033,1,0.006013,0.004741,0.007657,0.000013,-0.000484,0.000484,-0.004741,0.006013,0.369799,0.066515,-27.253051,0.000000,2.332929,0.010162
Phase_12,Install NRW Piles [Phase_12],-19.000000,88.817498,1,0.006567,0.004062,0.007721,0.000013,-0.000483,0.000483,-0.004062,0.006567,0.408809,0.082329,-28.668567,0.000000,2.444989,0.026611
Phase_12,Install NRW Piles [Phase_12],-19.000000,88.294962,1,0.006853,0.003332,0.007620,0.000014,-0.000482,0.000482,-0.003332,0.006853,0.455230,0.094537,-30.004730,0.000000,2.597974,0.021085
Phase_12,Install NRW Piles [Phase_12],-19.000000,87.772427,1,0.007079,0.002645,0.007557,0.000014,-0.000481,0.000481,-0.002645,0.007079,0.506903,0.102568,-31.260370,0.000000,2.753230,0.010620
Phase_12,Install NRW Piles [Phase_12],-19.000000,87.249891,1,0.007229,0.001953,0.007488,0.000014,-0.000480,0.000480,-0.001953,0.007229,0.561575,0.105849,-32.434311,0.000000,2.880287,-0.005914
Phase_12,Install NRW Piles [Phase_12],-19.000000,87.249891,1,0.007229,0.001953,0.007488,0.000014,-0.000480,0.000480,-0.001953,0.007229,0.561575,0.104731,-32.442387,0.000000,2.925118,-0.006006
Phase_12,Install NRW Piles [Phase_12],-19.000000,86.721576,1,0.007355,0.001285,0.007466,0.000014,-0.000478,0.000479,-0.001285,0.007355,0.615288,0.097230,-33.535229,0.000000,3.073145,-0.021412
Phase_12,Install NRW Piles [Phase_12],-19.000000,86.193262,1,0.007314,0.000560,0.007336,0.000014,-0.000477,0.000477,-0.000560,0.007314,0.662906,0.081871,-34.559646,0.000000,3.211073,-0.037784
Phase_12,Install NRW Piles [Phase_12],-19.000000,85.664947,1,0.007090,-0.000244,0.007094,0.000015,-0.000476,0.000476,0.000244,0.007090,0.700545,0.059295,-35.517844,0.000000,3.323848,-0.048741
Phase_12,Install NRW Piles [Phase_12],-19.000000,85.136632,1,0.006669,-0.001122,0.006763,0.000015,-0.000474,0.000474,0.001122,0.006669,0.724423,0.030138,-36.412033,0.000000,3.406323,-0.054382
Phase_12,Install NRW Piles [Phase_12],-19.000000,85.136632,1,0.006669,-0.001122,0.006763,0.000015,-0.000474,0.000474,0.001122,0.006669,0.724423,0.031383,-36.415335,0.000000,3.403961,-0.054344
Phase_12,Install NRW Piles [Phase_12],-19.000000,84.602474,1,0.006075,-0.002042,0.006409,0.000015,-0.000473,0.000473,0.002042,0.006075,0.733283,0.001637,-37.293231,0.000000,3.485364,-0.056607
Phase_12,Install NRW Piles [Phase_12],-19.000000,84.068316,1,0.005390,-0.002906,0.006123,0.000015,-0.000471,0.000472,0.002906,0.005390,0.725996,-0.029065,-38.117184,0.000000,3.585007,-0.058235
Phase_12,Install NRW Piles [Phase_12],-19.000000,83.534158,1,0.004669,-0.003664,0.005935,0.000014,-0.000470,0.000470,0.003664,0.004669,0.702051,-0.060749,-38.885630,0.000000,3.693212,-0.060286
Phase_12,Install NRW Piles [Phase_12],-19.000000,83.000000,1,0.003979,-0.004292,0.005853,0.000014,-0.000468,0.000469,0.004292,0.003979,0.660923,-0.093443,-39.597009,0.000000,3.810448,-0.056633
Phase_12,Install NRW Piles [Phase_12],-19.000000,83.000000,1,0.003979,-0.004292,0.005853,0.000014,-0.000468,0.000469,0.004292,0.003979,0.660923,-0.091948,-39.592255,0.000000,3.810702,-0.056637
Phase_12,Install NRW Piles [Phase_12],-19.000000,82.458333,1,0.003368,-0.004791,0.005856,0.000014,-0.000467,0.000467,0.004791,0.003368,0.603059,-0.120302,-40.256787,0.000000,3.910025,-0.044703
Phase_12,Install NRW Piles [Phase_12],-19.000000,81.916667,1,0.002871,-0.005164,0.005908,0.000014,-0.000465,0.000465,0.005164,0.002871,0.532121,-0.140243,-40.858661,0.000000,4.020133,-0.028355
Phase_12,Install NRW Piles [Phase_12],-19.000000,81.375000,1,0.002510,-0.005422,0.005974,0.000014,-0.000463,0.000464,0.005422,0.002510,0.452554,-0.152094,-41.394814,0.000000,4.152715,-0.014830
Phase_12,Install NRW Piles [Phase_12],-19.000000,80.833333,1,0.002319,-0.005563,0.006027,0.000013,-0.000462,0.000462,0.005563,0.002319,0.368746,-0.156179,-41.862181,0.000000,4.305106,-0.007925
Phase_12,Install NRW Piles [Phase_12],-19.000000,80.833333,1,0.002319,-0.005563,0.006027,0.000013,-0.000462,0.000462,0.005563,0.002319,0.368746,-0.157005,-41.861115,0.000000,4.341328,-0.007992
Phase_12,Install NRW Piles [Phase_12],-19.000000,80.291667,1,0.002286,-0.005615,0.006062,0.000013,-0.000460,0.000460,0.005615,0.002286,0.282578,-0.160521,-42.200932,0.000000,4.539883,-0.002238
Phase_12,Install NRW Piles [Phase_12],-19.000000,79.750000,1,0.002301,-0.005630,0.006082,0.000013,-0.000458,0.000459,0.005630,0.002301,0.195656,-0.159523,-42.444026,0.000000,4.720078,0.005503
Phase_12,Install NRW Piles [Phase_12],-19.000000,79.208333,1,0.002316,-0.005635,0.006092,0.000012,-0.000457,0.000457,0.005635,0.002316,0.110579,-0.153768,-42.590830,0.000000,4.895455,0.015332
Phase_12,Install NRW Piles [Phase_12],-19.000000,78.666667,1,0.002327,-0.005633,0.006095,0.000012,-0.000455,0.000455,0.005633,0.002327,0.029984,-0.143010,-42.641777,0.000000,5.074369,0.023554
Phase_12,Install NRW Piles [Phase_12],-19.000000,78.666667,1,0.002327,-0.005633,0.006095,0.000012,-0.000455,0.000455,0.005633,0.002327,0.029984,-0.143589,-42.640501,0.000000,5.071430,0.023540
Phase_12,Install NRW Piles [Phase_12],-19.000000,78.125000,1,0.002332,-0.005622,0.006087,0.000011,-0.000453,0.000454,0.005622,0.002332,-0.043709,-0.128055,-42.597571,0.000000,5.249581,0.031234
Phase_12,Install NRW Piles [Phase_12],-19.000000,77.583333,1,0.002332,-0.005603,0.006069,0.000011,-0.000452,0.000452,0.005603,0.002332,-0.108218,-0.109675,-42.455086,0.000000,5.431887,0.036969
Phase_12,Install NRW Piles [Phase_12],-19.000000,77.041667,1,0.002325,-0.005577,0.006042,0.000011,-0.000450,0.000450,0.005577,0.002325,-0.162079,-0.088677,-42.212649,0.000000,5.618671,0.040902
Phase_12,Install NRW Piles [Phase_12],-19.000000,76.500000,1,0.002313,-0.005544,0.006007,0.000010,-0.000448,0.000449,0.005544,0.002313,-0.203864,-0.065288,-41.869867,0.000000,5.811368,0.043261
Phase_12,Install NRW Piles [Phase_12],-19.000000,76.500000,1,0.002313,-0.005544,0.006007,0.000010,-0.000448,0.000449,0.005544,0.002313,-0.203864,-0.065992,-41.866741,0.000000,5.811280,0.043260
Phase_12,Install NRW Piles [Phase_12],-19.000000,75.958333,1,0.002297,-0.005504,0.005964,0.000010,-0.000447,0.000447,0.005504,0.002297,-0.233044,-0.041853,-41.419544,0.000000,6.007498,0.043812
Phase_12,Install NRW Piles [Phase_12],-19.000000,75.416667,1,0.002276,-0.005458,0.005914,0.000010,-0.000445,0.000445,0.005458,0.002276,-0.249328,-0.018458,-40.860477,0.000000,6.211193,0.042891
Phase_12,Install NRW Piles [Phase_12],-19.000000,74.875000,1,0.002251,-0.005408,0.005858,0.000009,-0.000444,0.000444,0.005408,0.002251,-0.253218,0.003976,-40.189108,0.000000,6.422196,0.040260
Phase_12,Install NRW Piles [Phase_12],-19.000000,74.333333,1,0.002223,-0.005353,0.005796,0.000009,-0.000442,0.000442,0.005353,0.002223,-0.245245,0.025229,-39.405006,0.000000,6.642030,0.036773
Phase_12,Install NRW Piles [Phase_12],-19.000000,74.333333,1,0.002223,-0.005353,0.005796,0.000009,-0.000442,0.000442,0.005353,0.002223,-0.245245,0.024443,-39.404657,0.000000,6.642373,0.036775
Phase_12,Install NRW Piles [Phase_12],-19.000000,73.791667,1,0.002193,-0.005294,0.005730,0.000009,-0.000440,0.000440,0.005294,0.002193,-0.226605,0.043739,-38.489992,0.000000,6.880748,0.031075
Phase_12,Install NRW Piles [Phase_12],-19.000000,73.250000,1,0.002161,-0.005231,0.005660,0.000008,-0.000439,0.000439,0.005231,0.002161,-0.198683,0.058354,-37.450937,0.000000,7.116594,0.023982
Phase_12,Install NRW Piles [Phase_12],-19.000000,72.708333,1,0.002128,-0.005165,0.005586,0.000008,-0.000437,0.000438,0.005165,0.002128,-0.164339,0.067618,-36.291474,0.000000,7.325379,0.011316
Phase_12,Install NRW Piles [Phase_12],-19.000000,72.166667,1,0.002093,-0.005095,0.005509,0.000008,-0.000436,0.000436,0.005095,0.002093,-0.126539,0.070863,-35.015585,0.000000,7.501296,0.006807
Phase_12,Install NRW Piles [Phase_12],-19.000000,72.166667,1,0.002093,-0.005095,0.005509,0.000008,-0.000436,0.000436,0.005095,0.002093,-0.126539,0.075492,-35.145504,0.000000,7.501979,0.006808
Phase_12,Install NRW Piles [Phase_12],-19.000000,71.625000,1,0.002058,-0.005023,0.005428,0.000008,-0.000435,0.000435,0.005023,0.002058,-0.088327,0.068441,-33.513968,0.000000,7.915761,-0.014445
Phase_12,Install NRW Piles [Phase_12],-19.000000,71.083333,1,0.002023,-0.004948,0.005346,0.000008,-0.000433,0.000433,0.004948,0.002023,-0.051372,0.064821,-32.013362,0.000000,8.036907,0.022917
Phase_12,Install NRW Piles [Phase_12],-19.000000,70.541667,1,0.001987,-0.004871,0.005261,0.000007,-0.000432,0.000432,0.004871,0.001987,-0.019826,0.051572,-30.798274,0.000000,6.861426,-0.050002
Phase_12,Install NRW Piles [Phase_12],-19.000000,70.000000,1,0.001952,-0.004791,0.005174,0.000007,-0.000431,0.000431,0.004791,0.001952,-0.000000,0.015634,-30.023292,0.000000,3.860434,-0.178263
Phase_41,Construct silo slab [Phase_41],-19.000000,96.000000,1,-0.015263,0.016660,0.022595,-0.000100,-0.000033,0.000106,-0.016660,-0.015263,-0.000000,-0.003513,2.647093,0.000000,0.000000,0.000000
Phase_41,Construct silo slab [Phase_41],-19.000000,95.850000,1,-0.015331,0.016662,0.022642,-0.000100,-0.000033,0.000105,-0.016662,-0.015331,-0.000803,-0.007251,1.885749,0.000000,0.000000,-0.025942
Phase_41,Construct silo slab [Phase_41],-19.000000,95.700000,1,-0.015431,0.016681,0.022724,-0.000099,-0.000033,0.000105,-0.016681,-0.015431,-0.002191,-0.011300,1.123865,0.000000,0.000000,-0.028112
Phase_41,Construct silo slab [Phase_41],-19.000000,95.550000,1,-0.015573,0.016725,0.022852,-0.000099,-0.000033,0.000104,-0.016725,-0.015573,-0.004209,-0.015643,0.361979,0.000000,0.000000,-0.029867
Phase_41,Construct silo slab [Phase_41],-19.000000,95.400000,1,-0.015864,0.016810,0.023114,-0.000098,-0.000033,0.000104,-0.016810,-0.015864,-0.006898,-0.020264,-0.399373,0.000000,0.000000,-0.002814
Phase_41,Construct silo slab [Phase_41],-19.000000,95.400000,1,-0.015864,0.016810,0.023114,-0.000098,-0.000033,0.000104,-0.016810,-0.015864,-0.006898,-0.018288,-0.399667,0.000000,0.000000,-0.003437
