Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_2,Install Cofferdam [Phase_2],-23.375000,104.500000,7,17,-0.004877,-0.014367,0.015172,-0.004877,-0.014367,0.015172,-0.014367,0.004877,-0.000000,0.000000,-48.603644,-14.581093
Phase_2,Install Cofferdam [Phase_2],-34.660000,101.500000,7,40,-0.001832,-0.026809,0.026871,-0.001832,-0.026809,0.026871,-0.026809,0.001832,-0.000000,0.000000,-145.799016,-43.739705
Phase_2,Install Cofferdam [Phase_2],-34.660000,101.625000,7,40,-0.001845,-0.026809,0.026873,-0.001845,-0.026809,0.026873,-0.026809,0.001845,-0.000000,0.000000,-141.750936,-42.525281
Phase_2,Install Cofferdam [Phase_2],-34.660000,101.750000,7,40,-0.001858,-0.026810,0.026874,-0.001858,-0.026810,0.026874,-0.026810,0.001858,-0.000000,0.000000,-137.700000,-41.310000
Phase_2,Install Cofferdam [Phase_2],-34.660000,101.875000,7,40,-0.001870,-0.026810,0.026875,-0.001870,-0.026810,0.026875,-0.026810,0.001870,-0.000000,0.000000,-133.649064,-40.094719
Phase_2,Install Cofferdam [Phase_2],-34.660000,102.000000,7,40,-0.001883,-0.026810,0.026876,-0.001883,-0.026810,0.026876,-0.026810,0.001883,-0.000000,0.000000,-129.600984,-38.880295
Phase_2,Install Cofferdam [Phase_2],-23.375000,101.500000,7,41,-0.004038,-0.014360,0.014917,-0.004038,-0.014360,0.014917,-0.014360,0.004038,-0.000000,0.000000,-145.799016,-43.739705
Phase_2,Install Cofferdam [Phase_2],-23.375000,101.625000,7,41,-0.004073,-0.014361,0.014927,-0.004073,-0.014361,0.014927,-0.014361,0.004073,-0.000000,0.000000,-141.750936,-42.525281
Phase_2,Install Cofferdam [Phase_2],-23.375000,101.750000,7,41,-0.004108,-0.014361,0.014937,-0.004108,-0.014361,0.014937,-0.014361,0.004108,-0.000000,0.000000,-137.700000,-41.310000
Phase_2,Install Cofferdam [Phase_2],-23.375000,101.875000,7,41,-0.004143,-0.014361,0.014947,-0.004143,-0.014361,0.014947,-0.014361,0.004143,-0.000000,0.000000,-133.649064,-40.094719
Phase_2,Install Cofferdam [Phase_2],-23.375000,102.000000,7,41,-0.004178,-0.014362,0.014957,-0.004178,-0.014362,0.014957,-0.014362,0.004178,-0.000000,0.000000,-129.600984,-38.880295
Phase_2,Install Cofferdam [Phase_2],-34.660000,98.300000,7,55,-0.001509,-0.026794,0.026837,-0.001509,-0.026794,0.026837,-0.026794,0.001509,-0.000000,0.000000,-249.478425,-74.843528
Phase_2,Install Cofferdam [Phase_2],-34.660000,98.500000,7,55,-0.001529,-0.026796,0.026839,-0.001529,-0.026796,0.026839,-0.026796,0.001529,-0.000000,0.000000,-243.001498,-72.900449
Phase_2,Install Cofferdam [Phase_2],-34.660000,98.700000,7,55,-0.001549,-0.026797,0.026841,-0.001549,-0.026797,0.026841,-0.026797,0.001549,-0.000000,0.000000,-236.520000,-70.956000
Phase_2,Install Cofferdam [Phase_2],-34.660000,98.900000,7,55,-0.001570,-0.026798,0.026844,-0.001570,-0.026798,0.026844,-0.026798,0.001570,-0.000000,0.000000,-230.038502,-69.011551
Phase_2,Install Cofferdam [Phase_2],-34.660000,99.100000,7,55,-0.001590,-0.026799,0.026846,-0.001590,-0.026799,0.026846,-0.026799,0.001590,-0.000000,0.000000,-223.561575,-67.068472
Phase_2,Install Cofferdam [Phase_2],-34.660000,99.100000,7,56,-0.001590,-0.026799,0.026846,-0.001590,-0.026799,0.026846,-0.026799,0.001590,-0.000000,0.000000,-223.558425,-67.067528
Phase_2,Install Cofferdam [Phase_2],-34.660000,99.300000,7,56,-0.001610,-0.026800,0.026848,-0.001610,-0.026800,0.026848,-0.026800,0.001610,-0.000000,0.000000,-217.081498,-65.124449
