Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_19,Ramped Internal Load [Phase_19],0.000000,105.371617,8,11,-0.014048,-0.080347,0.081566,-0.002166,-0.003400,0.004031,-0.080347,-0.014048,-9.659310,-9.659310,-4.269795,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],0.000000,105.557426,8,11,-0.013937,-0.069280,0.070668,-0.002183,-0.002761,0.003520,-0.069280,-0.013937,-5.836608,-5.836608,-2.606526,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],0.000000,105.743234,8,11,-0.013545,-0.030926,0.033763,-0.002201,-0.001800,0.002843,-0.030926,-0.013545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.100000,8,27,-0.038858,-0.070052,0.080108,-0.002294,-0.004387,0.004950,0.070052,0.038858,0.000000,0.000000,0.067000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.075000,8,27,-0.039042,-0.069841,0.080013,-0.002361,-0.004338,0.004939,0.069841,0.039042,0.000000,0.000000,0.067000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.050000,8,27,-0.039087,-0.069636,0.079856,-0.002353,-0.004281,0.004885,0.069636,0.039087,-2.324480,-2.324480,1.078388,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.025000,8,27,-0.039062,-0.069451,0.079682,-0.002304,-0.004224,0.004812,0.069451,0.039062,-3.313175,-3.313175,1.508573,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.000000,8,27,-0.039021,-0.069290,0.079522,-0.002244,-0.004174,0.004739,0.069290,0.039021,-3.465387,-3.465387,1.574801,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.181100,12,36,-0.041180,-0.001345,0.041202,-0.002777,-0.012441,0.012747,-0.001345,-0.041180,0.000000,0.000000,-0.013713,0.274257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-18.475000,104.410825,12,36,-0.041143,-0.001344,0.041165,-0.002664,-0.012438,0.012720,-0.001344,-0.041143,0.000000,0.000000,-0.007296,0.145913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
