Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_19,Ramped Internal Load [Phase_19],-10.398419,105.100000,6,8,-0.040672,-0.033122,0.052452,-0.002498,-0.003106,0.003986,0.040672,0.033122,-944.719164,868.163693,-28.772318,-5.754464
Phase_19,Ramped Internal Load [Phase_19],-10.398419,105.100000,6,9,-0.040672,-0.033122,0.052452,-0.002498,-0.003106,0.003986,0.040672,0.033122,-944.719164,868.146700,-28.729823,-5.745965
Phase_19,Ramped Internal Load [Phase_19],-10.520778,105.100000,6,9,-0.040676,-0.033502,0.052696,-0.002497,-0.003633,0.004409,0.040676,0.033502,-838.879912,862.255490,-28.775372,-5.755074
Phase_19,Ramped Internal Load [Phase_19],-10.643137,105.100000,6,9,-0.040680,-0.033879,0.052940,-0.002496,-0.004195,0.004882,0.040680,0.033879,-733.708893,856.387451,-28.608679,-5.721736
Phase_19,Ramped Internal Load [Phase_19],-10.765496,105.100000,6,9,-0.040684,-0.034250,0.053181,-0.002495,-0.004787,0.005398,0.040684,0.034250,-629.261559,850.446439,-28.246125,-5.649225
Phase_19,Ramped Internal Load [Phase_19],-10.887854,105.100000,6,9,-0.040688,-0.034613,0.053419,-0.002493,-0.005404,0.005952,0.040688,0.034613,-525.597185,844.336311,-27.704088,-5.540818
Phase_19,Ramped Internal Load [Phase_19],-10.887854,105.100000,6,10,-0.040688,-0.034613,0.053419,-0.002493,-0.005404,0.005952,0.040688,0.034613,-525.597185,844.363891,-27.726688,-5.545338
Phase_19,Ramped Internal Load [Phase_19],-11.038165,105.100000,6,10,-0.040693,-0.035045,0.053704,-0.002492,-0.006192,0.006674,0.040693,0.035045,-399.276865,836.826407,-26.931378,-5.386276
Phase_19,Ramped Internal Load [Phase_19],-11.188475,105.100000,6,10,-0.040698,-0.035459,0.053978,-0.002491,-0.007003,0.007433,0.040698,0.035459,-274.025486,829.386134,-25.992016,-5.198403
Phase_19,Ramped Internal Load [Phase_19],-11.338785,105.100000,6,10,-0.040703,-0.035850,0.054239,-0.002489,-0.007830,0.008217,0.040703,0.035850,-149.882137,822.072424,-24.914233,-4.982847
Phase_19,Ramped Internal Load [Phase_19],-11.489096,105.100000,6,10,-0.040708,-0.036214,0.054485,-0.002488,-0.008666,0.009016,0.040708,0.036214,-26.884925,814.914629,-23.703662,-4.740732
Phase_19,Ramped Internal Load [Phase_19],-11.489096,105.100000,6,11,-0.040708,-0.036214,0.054485,-0.002488,-0.008666,0.009016,0.040708,0.036214,-26.884925,814.905586,-23.738055,-4.747611
Phase_19,Ramped Internal Load [Phase_19],-11.673743,105.100000,6,11,-0.040714,-0.036621,0.054760,-0.002486,-0.009693,0.010007,0.040714,0.036621,122.754874,806.313470,-22.110556,-4.422111
Phase_19,Ramped Internal Load [Phase_19],-11.858391,105.100000,6,11,-0.040720,-0.036976,0.055003,-0.002485,-0.010706,0.010990,0.040720,0.036976,270.893571,797.909365,-20.463680,-4.092736
Phase_19,Ramped Internal Load [Phase_19],-12.043038,105.100000,6,11,-0.040726,-0.037272,0.055207,-0.002483,-0.011690,0.011950,0.040726,0.037272,417.498732,789.697752,-18.818957,-3.763791
Phase_19,Ramped Internal Load [Phase_19],-12.227686,105.100000,6,11,-0.040732,-0.037505,0.055369,-0.002482,-0.012630,0.012872,0.040732,0.037505,562.537679,781.683111,-17.197921,-3.439584
Phase_19,Ramped Internal Load [Phase_19],-12.227686,105.100000,6,12,-0.040732,-0.037505,0.055369,-0.002482,-0.012630,0.012872,0.040732,0.037505,562.537679,781.686528,-17.270044,-3.454009
Phase_19,Ramped Internal Load [Phase_19],-12.454514,105.100000,6,12,-0.040740,-0.037693,0.055502,-0.002480,-0.013705,0.013928,0.040740,0.037693,738.713548,772.118689,-15.480738,-3.096148
Phase_19,Ramped Internal Load [Phase_19],-12.681343,105.100000,6,12,-0.040747,-0.037765,0.055557,-0.002478,-0.014665,0.014873,0.040747,0.037765,912.841896,762.914793,-14.131327,-2.826265
Phase_19,Ramped Internal Load [Phase_19],-12.908171,105.100000,6,12,-0.040755,-0.037709,0.055524,-0.002476,-0.015483,0.015680,0.040755,0.037709,1084.920857,754.050052,-13.251370,-2.650274
Phase_19,Ramped Internal Load [Phase_19],-13.135000,105.100000,6,12,-0.040763,-0.037515,0.055398,-0.002474,-0.016132,0.016321,0.040763,0.037515,1254.946183,745.499679,-12.870427,-2.574085
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.000000,5,13,-0.040365,-0.031883,0.051438,-0.002248,-0.001672,0.002801,-0.031883,0.040365,-1234.095725,-605.438358,-889.633899,-177.926780
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.025000,5,13,-0.040438,-0.031884,0.051496,-0.002308,-0.001673,0.002851,-0.031884,0.040438,-1249.229507,-605.539630,-889.275756,-177.855151
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.050000,5,13,-0.040512,-0.031885,0.051554,-0.002371,-0.001674,0.002902,-0.031885,0.040512,-1264.372434,-605.606791,-888.932229,-177.786446
